read	contig	start	end	strand
read_00000092	seq_1060-0037-#1#1	8508	8708	+
read_00000093	seq_1060-0037-#1#1	2900	3100	-
read_00000094	seq_1060-0037-#1#1	1090	1290	+
read_00000095	seq_1060-0037-#1#1	7509	7709	+
read_00000096	seq_1060-0037-#1#1	3794	3994	+
read_00000097	seq_1060-0037-#1#1	8844	9044	-
read_00000098	seq_1060-0037-#1#1	2468	2668	-
read_00000099	seq_1060-0037-#1#1	5464	5664	-
read_00000100	seq_1060-0037-#1#1	8587	8787	-
read_00000101	seq_1060-0037-#1#1	3072	3272	+
read_00000102	seq_1060-0037-#1#1	8838	9038	+
read_00000103	seq_1060-0037-#1#1	2225	2425	-
read_00000104	seq_1060-0037-#1#1	4630	4830	+
read_00000105	seq_1060-0037-#1#1	2029	2229	-
read_00000106	seq_1060-0037-#1#1	8520	8720	+
read_00000107	seq_1060-0037-#1#1	6299	6499	-
read_00000108	seq_1060-0037-#1#1	1916	2116	-
read_00000109	seq_1060-0037-#1#1	6771	6971	-
read_00000110	seq_1060-0037-#1#1	3840	4040	-
read_00000111	seq_1060-0037-#1#1	1135	1335	-
read_00000112	seq_1060-0037-#1#1	8732	8932	+
read_00000113	seq_1060-0037-#1#1	2962	3162	-
read_00000114	seq_1060-0037-#1#1	8091	8291	-
read_00000115	seq_1060-0037-#1#1	2514	2714	+
read_00000116	seq_1060-0037-#1#1	32	232	-
read_00000117	seq_1060-0037-#1#1	702	902	+
read_00000118	seq_1060-0037-#1#1	5374	5574	-
read_00000119	seq_1060-0037-#1#1	5899	6099	-
read_00000120	seq_1060-0037-#1#1	5372	5572	-
read_00000121	seq_1060-0037-#1#1	3080	3280	+
read_00000122	seq_1060-0037-#1#1	4637	4837	-
read_00000123	seq_1060-0037-#1#1	6167	6367	-
read_00000124	seq_1060-0037-#1#1	1919	2119	+
read_00000125	seq_1060-0037-#1#1	5059	5259	-
read_00000126	seq_1060-0037-#1#1	9644	9844	+
read_00000127	seq_1060-0037-#1#1	8759	8959	-
read_00000128	seq_1060-0037-#1#1	990	1190	-
read_00000129	seq_1060-0037-#1#1	4959	5159	-
read_00000130	seq_1060-0037-#1#1	225	425	-
read_00000131	seq_1060-0037-#1#1	2082	2282	-
read_00000132	seq_1060-0037-#1#1	9426	9626	+
read_00000133	seq_1060-0037-#1#1	6003	6203	+
read_00000134	seq_1060-0037-#1#1	7933	8133	-
read_00000135	seq_1060-0037-#1#1	3725	3925	+
read_00000136	seq_1060-0037-#1#1	5784	5984	-
read_00000137	seq_1060-0037-#1#1	5927	6127	+
read_00000138	seq_1060-0037-#1#1	5654	5854	-
read_00000139	seq_1060-0037-#1#1	9785	9985	-
read_00000140	seq_1060-0037-#1#1	1930	2130	+
read_00000141	seq_1060-0037-#1#1	4473	4673	+
read_00000142	seq_1060-0037-#1#1	2226	2426	-
read_00000143	seq_1060-0037-#1#1	2674	2874	-
read_00000144	seq_1060-0037-#1#1	4438	4638	-
read_00000145	seq_1060-0037-#1#1	4991	5191	+
read_00000146	seq_1060-0037-#1#1	9742	9942	+
read_00000147	seq_1060-0037-#1#1	3875	4075	+
read_00000148	seq_1060-0037-#1#1	8683	8883	-
read_00000149	seq_1060-0037-#1#1	50	250	+
read_00000150	seq_1060-0037-#1#1	5571	5771	+
read_00000151	seq_1060-0037-#1#1	8969	9169	+
read_00000152	seq_1060-0037-#1#1	1170	1370	+
read_00000153	seq_1060-0037-#1#1	2064	2264	+
read_00000154	seq_1060-0037-#1#1	6660	6860	+
read_00000155	seq_1060-0037-#1#1	5042	5242	-
read_00000156	seq_1060-0037-#1#1	5592	5792	-
read_00000157	seq_1060-0037-#1#1	611	811	+
read_00000158	seq_1060-0037-#1#1	4106	4306	+
read_00000159	seq_1060-0037-#1#1	5719	5919	-
read_00000160	seq_1060-0037-#1#1	7930	8130	-
read_00000161	seq_1060-0037-#1#1	5999	6199	+
read_00000162	seq_1060-0037-#1#1	2728	2928	+
read_00000163	seq_1060-0037-#1#1	2952	3152	+
read_00000164	seq_1060-0037-#1#1	2215	2415	-
read_00000165	seq_1060-0037-#1#1	6191	6391	-
read_00000166	seq_1060-0037-#1#1	5851	6051	-
read_00000167	seq_1060-0037-#1#1	2998	3198	-
read_00000168	seq_1060-0037-#1#1	9225	9425	-
read_00000169	seq_1060-0037-#1#1	9817	10017	+
read_00000170	seq_1060-0037-#1#1	2097	2297	+
read_00000171	seq_1060-0037-#1#1	5097	5297	-
read_00000172	seq_1060-0037-#1#1	4768	4968	+
read_00000173	seq_1060-0037-#1#1	4983	5183	+
read_00000174	seq_1060-0037-#1#1	6215	6415	+
read_00000175	seq_1060-0037-#1#1	5696	5896	+
read_00000176	seq_1060-0037-#1#1	2662	2862	+
read_00000177	seq_1060-0037-#1#1	1800	2000	-
read_00000178	seq_1060-0037-#1#1	3842	4042	+
read_00000179	seq_1060-0037-#1#1	5848	6048	-
read_00000180	seq_1060-0037-#1#1	8156	8356	-
read_00000181	seq_1060-0037-#1#1	2229	2429	-
read_00000182	seq_1060-0037-#1#1	3959	4159	-
read_00000183	seq_1060-0037-#1#1	6993	7193	+
read_00000184	seq_1060-0037-#1#1	2931	3131	+
read_00000185	seq_1060-0037-#1#1	8901	9101	-
read_00000186	seq_1060-0037-#1#1	9796	9996	+
read_00000187	seq_1060-0037-#1#1	1099	1299	-
read_00000188	seq_1060-0037-#1#1	345	545	-
read_00000189	seq_1060-0037-#1#1	1368	1568	-
read_00000190	seq_1060-0037-#1#1	4169	4369	+
read_00000191	seq_1060-0037-#1#1	7947	8147	-
read_00000192	seq_1060-0037-#1#1	456	656	-
read_00000193	seq_1060-0037-#1#1	5321	5521	+
read_00000194	seq_1060-0037-#1#1	9798	9998	+
read_00000195	seq_1060-0037-#1#1	9033	9233	+
read_00000196	seq_1060-0037-#1#1	5173	5373	-
read_00000197	seq_1060-0037-#1#1	8639	8839	-
read_00000198	seq_1060-0037-#1#1	5738	5938	+
read_00000199	seq_1060-0037-#1#1	4636	4836	-
read_00000200	seq_1060-0037-#1#1	1600	1800	-
read_00000201	seq_1060-0037-#1#1	2993	3193	+
read_00000202	seq_1060-0037-#1#1	2313	2513	+
read_00000203	seq_1060-0037-#1#1	7932	8132	-
read_00000204	seq_1060-0037-#1#1	1144	1344	+
read_00000205	seq_1060-0037-#1#1	7208	7408	-
read_00000206	seq_1060-0037-#1#1	6114	6314	+
read_00000207	seq_1060-0037-#1#1	7867	8067	-
read_00000208	seq_1060-0037-#1#1	6114	6314	+
read_00000209	seq_1060-0037-#1#1	7936	8136	-
read_00000210	seq_1060-0037-#1#1	7638	7838	-
read_00000211	seq_1060-0037-#1#1	5257	5457	-
read_00000212	seq_1060-0037-#1#1	4808	5008	-
read_00000213	seq_1060-0037-#1#1	2590	2790	+
read_00000214	seq_1060-0037-#1#1	2312	2512	-
read_00000215	seq_1060-0037-#1#1	1656	1856	+
read_00000216	seq_1060-0037-#1#1	61	261	+
read_00000217	seq_1060-0037-#1#1	7980	8180	-
read_00000218	seq_1060-0037-#1#1	295	495	-
read_00000219	seq_1060-0037-#1#1	2247	2447	+
read_00000220	seq_1060-0037-#1#1	2679	2879	-
read_00000221	seq_1060-0037-#1#1	8328	8528	+
read_00000222	seq_1060-0037-#1#1	3147	3347	+
read_00000223	seq_1060-0037-#1#1	2497	2697	+
read_00000224	seq_1060-0037-#1#1	2093	2293	+
read_00000225	seq_1060-0037-#1#1	4911	5111	-
read_00000226	seq_1060-0037-#1#1	5118	5318	+
read_00000227	seq_1060-0037-#1#1	998	1198	+
read_00000228	seq_1060-0037-#1#1	4119	4319	+
read_00000229	seq_1060-0037-#1#1	5971	6171	+
read_00000230	seq_1060-0037-#1#1	862	1062	-
read_00000231	seq_1060-0037-#1#1	8324	8524	+
read_00000232	seq_1060-0037-#1#1	5839	6039	+
read_00000233	seq_1060-0037-#1#1	7389	7589	+
read_00000234	seq_1060-0037-#1#1	7584	7784	+
read_00000235	seq_1060-0037-#1#1	9385	9585	+
read_00000236	seq_1060-0037-#1#1	5662	5862	-
read_00000237	seq_1060-0037-#1#1	5521	5721	+
read_00000238	seq_1060-0037-#1#1	7084	7284	-
read_00000239	seq_1060-0037-#1#1	295	495	+
read_00000240	seq_1060-0037-#1#1	3780	3980	-
read_00000241	seq_1060-0037-#1#1	3011	3211	+
read_00000242	seq_1060-0037-#1#1	2185	2385	+
read_00000243	seq_1060-0037-#1#1	6674	6874	-
read_00000244	seq_1060-0037-#1#1	3043	3243	+
read_00000245	seq_1060-0037-#1#1	3866	4066	-
read_00000246	seq_1060-0037-#1#1	5118	5318	+
read_00000247	seq_1060-0037-#1#1	8978	9178	-
read_00000248	seq_1060-0037-#1#1	6914	7114	+
read_00000249	seq_1060-0037-#1#1	4915	5115	-
read_00000250	seq_1060-0037-#1#1	937	1137	-
read_00000251	seq_1060-0037-#1#1	8842	9042	+
read_00000252	seq_1060-0037-#1#1	22	222	-
read_00000253	seq_1060-0037-#1#1	9456	9656	-
read_00000254	seq_1060-0037-#1#1	6094	6294	-
read_00000255	seq_1060-0037-#1#1	5291	5491	+
read_00000256	seq_1060-0037-#1#1	5340	5540	-
read_00000257	seq_1060-0037-#1#1	8375	8575	-
read_00000258	seq_1060-0037-#1#1	5025	5225	-
read_00000259	seq_1060-0037-#1#1	9234	9434	-
read_00000260	seq_1060-0037-#1#1	251	451	+
read_00000261	seq_1060-0037-#1#1	8010	8210	+
read_00000262	seq_1060-0037-#1#1	7092	7292	-
read_00000263	seq_1060-0037-#1#1	3399	3599	-
read_00000264	seq_1060-0037-#1#1	5499	5699	-
read_00000265	seq_1060-0037-#1#1	1187	1387	+
read_00000266	seq_1060-0037-#1#1	2111	2311	+
read_00000267	seq_1060-0037-#1#1	1274	1474	-
read_00000268	seq_1060-0037-#1#1	3722	3922	+
read_00000269	seq_1060-0037-#1#1	2607	2807	+
read_00000270	seq_1060-0037-#1#1	8920	9120	+
read_00000271	seq_1060-0037-#1#1	8005	8205	+
read_00000272	seq_1060-0037-#1#1	1807	2007	+
read_00000273	seq_1060-0037-#1#1	6808	7008	+
read_00000274	seq_1060-0037-#1#1	1828	2028	+
read_00000275	seq_1060-0037-#1#1	8930	9130	-
read_00000276	seq_1060-0037-#1#1	4843	5043	-
read_00000277	seq_1060-0037-#1#1	9260	9460	-
read_00000278	seq_1060-0037-#1#1	2592	2792	-
read_00000279	seq_1060-0037-#1#1	6017	6217	+
read_00000280	seq_1060-0037-#1#1	7881	8081	-
read_00000281	seq_1060-0037-#1#1	7007	7207	-
read_00000282	seq_1060-0037-#1#1	1524	1724	+
read_00000283	seq_1060-0037-#1#1	8187	8387	-
read_00000284	seq_1060-0037-#1#1	6283	6483	+
read_00000285	seq_1060-0037-#1#1	1701	1901	+
read_00000286	seq_1060-0037-#1#1	5863	6063	-
read_00000287	seq_1060-0037-#1#1	7624	7824	-
read_00000288	seq_1060-0037-#1#1	1927	2127	-
read_00000289	seq_1060-0037-#1#1	5580	5780	+
read_00000290	seq_1060-0037-#1#1	1208	1408	-
read_00000291	seq_1060-0037-#1#1	5855	6055	+
read_00000292	seq_1060-0037-#1#1	5141	5341	+
read_00000293	seq_1060-0037-#1#1	7958	8158	-
read_00000294	seq_1060-0037-#1#1	8185	8385	+
read_00000295	seq_1060-0037-#1#1	4019	4219	+
read_00000296	seq_1060-0037-#1#1	3164	3364	-
read_00000297	seq_1060-0037-#1#1	5601	5801	-
read_00000298	seq_1060-0037-#1#1	2184	2384	-
read_00000299	seq_1060-0037-#1#1	3069	3269	+
read_00000300	seq_1060-0037-#1#1	9372	9572	-
read_00000301	seq_1060-0037-#1#1	8800	9000	+
read_00000302	seq_1060-0037-#1#1	7572	7772	-
read_00000303	seq_1060-0037-#1#1	8673	8873	+
read_00000304	seq_1060-0037-#1#1	7847	8047	-
read_00000305	seq_1060-0037-#1#1	2037	2237	-
read_00000306	seq_1060-0037-#1#1	5585	5785	+
read_00000307	seq_1060-0037-#1#1	7987	8187	-
read_00000308	seq_1060-0037-#1#1	6697	6897	-
read_00000309	seq_1060-0037-#1#1	7686	7886	+
read_00000310	seq_1060-0037-#1#1	1667	1867	-
read_00000311	seq_1060-0037-#1#1	1560	1760	+
read_00000312	seq_1060-0037-#1#1	5032	5232	-
read_00000313	seq_1060-0037-#1#1	6703	6903	-
read_00000314	seq_1060-0037-#1#1	1767	1967	+
read_00000315	seq_1060-0037-#1#1	5983	6183	+
read_00000316	seq_1060-0037-#1#1	1828	2028	+
read_00000317	seq_1060-0037-#1#1	95	295	-
read_00000318	seq_1060-0037-#1#1	7780	7980	+
read_00000319	seq_1060-0037-#1#1	8338	8538	-
read_00000320	seq_1060-0037-#1#1	9852	10052	+
read_00000321	seq_1060-0037-#1#1	9815	10015	-
read_00000322	seq_1060-0037-#1#1	8315	8515	-
read_00000323	seq_1060-0037-#1#1	6907	7107	-
read_00000324	seq_1060-0037-#1#1	5162	5362	+
read_00000325	seq_1060-0037-#1#1	138	338	+
read_00000326	seq_1060-0037-#1#1	3473	3673	-
read_00000327	seq_1060-0037-#1#1	4695	4895	+
read_00000328	seq_1060-0037-#1#1	5271	5471	+
read_00000329	seq_1060-0037-#1#1	2144	2344	+
read_00000330	seq_1060-0037-#1#1	5388	5588	-
read_00000331	seq_1060-0037-#1#1	7260	7460	-
read_00000332	seq_1060-0037-#1#1	3869	4069	-
read_00000333	seq_1060-0037-#1#1	1749	1949	+
read_00000334	seq_1060-0037-#1#1	3359	3559	+
read_00000335	seq_1060-0037-#1#1	6731	6931	-
read_00000336	seq_1060-0037-#1#1	4742	4942	-
read_00000337	seq_1060-0037-#1#1	6721	6921	+
read_00000338	seq_1060-0037-#1#1	6606	6806	+
read_00000339	seq_1060-0037-#1#1	5303	5503	+
read_00000340	seq_1060-0037-#1#1	1445	1645	+
read_00000341	seq_1060-0037-#1#1	8937	9137	+
read_00000342	seq_1060-0037-#1#1	1478	1678	-
read_00000343	seq_1060-0037-#1#1	9037	9237	-
read_00000344	seq_1060-0037-#1#1	2527	2727	+
read_00000345	seq_1060-0037-#1#1	4938	5138	-
read_00000346	seq_1060-0037-#1#1	6489	6689	+
read_00000347	seq_1060-0037-#1#1	1873	2073	-
read_00000348	seq_1060-0037-#1#1	7692	7892	+
read_00000349	seq_1060-0037-#1#1	6962	7162	+
read_00000350	seq_1060-0037-#1#1	162	362	+
read_00000351	seq_1060-0037-#1#1	1591	1791	-
read_00000352	seq_1060-0037-#1#1	5238	5438	-
read_00000353	seq_1060-0037-#1#1	6835	7035	-
read_00000354	seq_1060-0037-#1#1	6745	6945	+
read_00000355	seq_1060-0037-#1#1	8349	8549	-
read_00000356	seq_1060-0037-#1#1	8545	8745	-
read_00000357	seq_1060-0037-#1#1	7606	7806	-
read_00000358	seq_1060-0037-#1#1	3236	3436	+
read_00000359	seq_1060-0037-#1#1	4313	4513	+
read_00000360	seq_1060-0037-#1#1	9171	9371	+
read_00000361	seq_1060-0037-#1#1	5871	6071	-
read_00000362	seq_1060-0037-#1#1	1841	2041	-
read_00000363	seq_1060-0037-#1#1	3663	3863	+
read_00000364	seq_1060-0037-#1#1	4182	4382	+
read_00000365	seq_1060-0037-#1#1	4501	4701	-
read_00000366	seq_1060-0037-#1#1	6953	7153	+
read_00000367	seq_1060-0037-#1#1	5683	5883	-
read_00000368	seq_1060-0037-#1#1	9750	9950	-
read_00000369	seq_1060-0037-#1#1	8890	9090	-
read_00000370	seq_1060-0037-#1#1	7535	7735	-
read_00000371	seq_1060-0037-#1#1	1136	1336	-
read_00000372	seq_1060-0037-#1#1	3915	4115	+
read_00000373	seq_1060-0037-#1#1	5072	5272	-
read_00000374	seq_1060-0037-#1#1	8762	8962	-
read_00000375	seq_1060-0037-#1#1	6765	6965	-
read_00000376	seq_1060-0037-#1#1	418	618	+
read_00000377	seq_1060-0037-#1#1	3570	3770	+
read_00000378	seq_1060-0037-#1#1	88	288	-
read_00000379	seq_1060-0037-#1#1	9031	9231	+
read_00000380	seq_1060-0037-#1#1	2542	2742	+
read_00000381	seq_1060-0037-#1#1	9838	10038	+
read_00000382	seq_1060-0037-#1#1	3336	3536	+
read_00000383	seq_1060-0037-#1#1	4094	4294	+
read_00000384	seq_1060-0037-#1#1	9313	9513	-
read_00000385	seq_1060-0037-#1#1	9466	9666	-
read_00000386	seq_1060-0037-#1#1	6935	7135	+
read_00000387	seq_1060-0037-#1#1	6428	6628	-
read_00000388	seq_1060-0037-#1#1	8521	8721	-
read_00000389	seq_1060-0037-#1#1	1666	1866	+
read_00000390	seq_1060-0037-#1#1	7105	7305	+
read_00000391	seq_1060-0037-#1#1	7518	7718	-
read_00000392	seq_1060-0037-#1#1	1637	1837	+
read_00000393	seq_1060-0037-#1#1	5882	6082	-
read_00000394	seq_1060-0037-#1#1	5236	5436	-
read_00000395	seq_1060-0037-#1#1	9828	10028	+
read_00000396	seq_1060-0037-#1#1	3193	3393	+
read_00000397	seq_1060-0037-#1#1	287	487	+
read_00000398	seq_1060-0037-#1#1	8755	8955	+
read_00000399	seq_1060-0037-#1#1	6284	6484	-
read_00000400	seq_1060-0037-#1#1	907	1107	+
read_00000401	seq_1060-0037-#1#1	4296	4496	-
read_00000402	seq_1060-0037-#1#1	3281	3481	-
read_00000403	seq_1060-0037-#1#1	2872	3072	+
read_00000404	seq_1060-0037-#1#1	676	876	+
read_00000405	seq_1060-0037-#1#1	6123	6323	+
read_00000406	seq_1060-0037-#1#1	4335	4535	-
read_00000407	seq_1060-0037-#1#1	6204	6404	+
read_00000408	seq_1060-0037-#1#1	1071	1271	-
read_00000409	seq_1060-0037-#1#1	4895	5095	+
read_00000410	seq_1060-0037-#1#1	7755	7955	+
read_00000411	seq_1060-0037-#1#1	3024	3224	-
read_00000412	seq_1060-0037-#1#1	2079	2279	+
read_00000413	seq_1060-0037-#1#1	5410	5610	+
read_00000414	seq_1060-0037-#1#1	1554	1754	-
read_00000415	seq_1060-0037-#1#1	3987	4187	+
read_00000416	seq_1060-0037-#1#1	6619	6819	+
read_00000417	seq_1060-0037-#1#1	1580	1780	+
read_00000418	seq_1060-0037-#1#1	1974	2174	+
read_00000419	seq_1060-0037-#1#1	4944	5144	-
read_00000420	seq_1060-0037-#1#1	6355	6555	-
read_00000421	seq_1060-0037-#1#1	8124	8324	-
read_00000422	seq_1060-0037-#1#1	6460	6660	+
read_00000423	seq_1060-0037-#1#1	7773	7973	-
read_00000424	seq_1060-0037-#1#1	9071	9271	+
read_00000425	seq_1060-0037-#1#1	9860	10060	+
read_00000426	seq_1060-0037-#1#1	2348	2548	+
read_00000427	seq_1060-0037-#1#1	8074	8274	-
read_00000428	seq_1060-0037-#1#1	3877	4077	-
read_00000429	seq_1060-0037-#1#1	8799	8999	+
read_00000430	seq_1060-0037-#1#1	1656	1856	-
read_00000431	seq_1060-0037-#1#1	1772	1972	+
read_00000432	seq_1060-0037-#1#1	6856	7056	+
read_00000433	seq_1060-0037-#1#1	7967	8167	+
read_00000434	seq_1060-0037-#1#1	5006	5206	-
read_00000435	seq_1060-0037-#1#1	6663	6863	+
read_00000436	seq_1060-0037-#1#1	5518	5718	+
read_00000437	seq_1060-0037-#1#1	2431	2631	-
read_00000438	seq_1060-0037-#1#1	245	445	+
read_00000439	seq_1060-0037-#1#1	3712	3912	-
read_00000440	seq_1060-0037-#1#1	2190	2390	-
read_00000441	seq_1060-0037-#1#1	4916	5116	-
read_00000442	seq_1060-0037-#1#1	5456	5656	-
read_00000443	seq_1060-0037-#1#1	9717	9917	+
read_00000444	seq_1060-0037-#1#1	4064	4264	+
read_00000445	seq_1060-0037-#1#1	3302	3502	-
read_00000446	seq_1060-0037-#1#1	3453	3653	-
read_00000447	seq_1060-0037-#1#1	8677	8877	-
read_00000448	seq_1060-0037-#1#1	6295	6495	+
read_00000449	seq_1060-0037-#1#1	6105	6305	+
read_00000450	seq_1060-0037-#1#1	7388	7588	+
read_00000451	seq_1060-0037-#1#1	132	332	+
read_00000452	seq_1060-0037-#1#1	7141	7341	-
read_00000453	seq_1060-0037-#1#1	8541	8741	+
read_00000454	seq_1060-0037-#1#1	3995	4195	-
read_00000455	seq_1060-0037-#1#1	6576	6776	-
read_00000456	seq_1060-0037-#1#1	7521	7721	+
read_00000457	seq_1060-0037-#1#1	8153	8353	-
read_00000458	seq_1060-0037-#1#1	4233	4433	+
read_00000459	seq_1060-0037-#1#1	3190	3390	-
read_00000460	seq_1060-0037-#1#1	8344	8544	-
read_00000461	seq_1060-0037-#1#1	446	646	+
read_00000462	seq_1060-0037-#1#1	6932	7132	-
read_00000463	seq_1060-0037-#1#1	5328	5528	-
read_00000464	seq_1060-0037-#1#1	9766	9966	+
read_00000465	seq_1060-0037-#1#1	7290	7490	-
read_00000466	seq_1060-0037-#1#1	8619	8819	+
read_00000467	seq_1060-0037-#1#1	4359	4559	-
read_00000468	seq_1060-0037-#1#1	2639	2839	-
read_00000469	seq_1060-0037-#1#1	5652	5852	+
read_00000470	seq_1060-0037-#1#1	5274	5474	-
read_00000471	seq_1060-0037-#1#1	5408	5608	+
read_00000472	seq_1060-0037-#1#1	6670	6870	+
read_00000473	seq_1060-0037-#1#1	9832	10032	+
read_00000474	seq_1060-0037-#1#1	1046	1246	+
read_00000475	seq_1060-0037-#1#1	8858	9058	+
read_00000476	seq_1060-0037-#1#1	8331	8531	-
read_00000477	seq_1060-0037-#1#1	6594	6794	+
read_00000478	seq_1060-0037-#1#1	1719	1919	-
read_00000479	seq_1060-0037-#1#1	4156	4356	-
read_00000480	seq_1060-0037-#1#1	2770	2970	+
read_00000481	seq_1060-0037-#1#1	1378	1578	-
read_00000482	seq_1060-0037-#1#1	1073	1273	-
read_00000483	seq_1060-0037-#1#1	4155	4355	-
read_00000484	seq_1060-0037-#1#1	5995	6195	+
read_00000485	seq_1060-0037-#1#1	8679	8879	-
read_00000486	seq_1060-0037-#1#1	8266	8466	-
read_00000487	seq_1060-0037-#1#1	3855	4055	-
read_00000488	seq_1060-0037-#1#1	2639	2839	+
read_00000489	seq_1060-0037-#1#1	6130	6330	-
read_00000490	seq_1060-0037-#1#1	406	606	+
read_00000491	seq_1060-0037-#1#1	7384	7584	-
read_00000492	seq_1060-0037-#1#1	5666	5866	-
read_00000493	seq_1060-0037-#1#1	7723	7923	+
read_00000494	seq_1060-0037-#1#1	4663	4863	-
read_00000495	seq_1060-0037-#1#1	4760	4960	-
read_00000496	seq_1060-0037-#1#1	352	552	+
read_00000497	seq_1060-0037-#1#1	4380	4580	+
read_00000498	seq_1060-0037-#1#1	6842	7042	+
read_00000499	seq_1060-0037-#1#1	4306	4506	+
read_00000500	seq_1060-0037-#1#1	8494	8694	+
